Company Name,Job Title,About Company,Location,Skills Required,Job responsibilities,Job requirements,Tags
The Crafty Talk,Mechanical Engineering,We are an organization that aims to imbibe the craft culture of Indian professionals into young India. We get the young minds to work with the older generations and export the art into the global market.,Work From Home,ANSYS  AutoCAD  Autodesk Fusion 360  Catia  MS-Office  SolidWorks ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","Mechanical Engineering, ANSYS  AutoCAD  Autodesk Fusion 360  Catia  MS-Office  SolidWorks "
The Crafty Talk,Blockchain Development,We are an organization that aims to imbibe the craft culture of Indian professionals into young India. We get the young minds to work with the older generations and export the art into the global market.,Work From Home,Blockchain  C++ Programming  Ethereum  Hyperledger  Java  JavaScript  Node.js  Python  ReactJS ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","Blockchain Development, Blockchain  C++ Programming  Ethereum  Hyperledger  Java  JavaScript  Node.js  Python  ReactJS "
Resolute AI Software,Software Testing,"We work with enterprises to build AI capabilities, platforms, and solutions talent academy, leveraging the latest technologies to deliver unique platforms and solutions. We are working on launching unique AI and ML-enabled solutions to solve critical problems around security, customer behavior analytics, and improving customer engagement.",Work From Home,Database Testing  GUI Testing  Manual Testing  Software Testing ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","Software Testing, Database Testing  GUI Testing  Manual Testing  Software Testing "
Endeavor Academy,Mechanical Engineering - Subject Matter Expert (Night Shift),"Endeavor Academy is an academy of industry experts. We are providing the following services as an ed-tech solution provider: textbook solutions, video solutions, QnA experts, experts for CMS portal, and live classes. The level of projects that we are handling is middle school, high school, and graduation subjects. Projects that we have done previously include the Brainly CMS portal, the OneClass CMS portal, Bartleby QnA experts, Vedantu video solutions, Doubtnut Video solutions, and Chegg TBS Project.",Work From Home,AutoCAD  LaTeX ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","Mechanical Engineering - Subject Matter Expert (Night Shift), AutoCAD  LaTeX "
INGLU,Web Development/Design,INGLU is a student-based startup. We provide you with a lifetime of experience. Our motto is not just working but having fun too. We help students in finding scholarships and other student-related services to help them have a hassle-free student life.,Delhi, ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","Web Development Design,  "
Endeavor Academy,Electrical Engineering - Subject Matter Expert (Doubt Solving - Night Shift),"Endeavor Academy is an academy of industry experts. We are providing the following services as an ed-tech solution provider: textbook solutions, video solutions, QnA experts, experts for CMS portal, and live classes. The level of projects that we are handling is middle school, high school, and graduation subjects. Projects that we have done previously include the Brainly CMS portal, the OneClass CMS portal, Bartleby QnA experts, Vedantu video solutions, Doubtnut Video solutions, and Chegg TBS Project.",Work From Home, ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","Electrical Engineering - Subject Matter Expert (Doubt Solving - Night Shift),  "
Avadesh B,React Native Development And Testing,"I am currently working on an early-stage startup in the travel space. I'm bootstrapping this project. I have exited a startup before, completed my MBA from New York, and worked in the US for three years before moving to India to work on my startup. I'm a travel enthusiast and have traveled to 22 countries so far.",Work From Home,MEAN/MERN Stack  React Native ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","React Native Development And Testing, MEAN MERN Stack  React Native "
IESoft Technologies Private Limited,Full Stack Development,"IESoft Technologies Private Limited is a product and services company with a global presence. We started our operations in the year 2012. We have come a long way in the past nine years. We have global clients from Singapore, the US, the UK, Canada, and the Middle East. Some of our clients are from the Fortune 500 list and big global names. We have helped many clients reach their goals & have been supporting them with our software expertise. We had launched a couple of products a few years ago and they are very successful now. The company offers an awesome working culture.",Work From Home,CSS  HTML  JavaScript  Node.js  ReactJS ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","Full Stack Development, CSS  HTML  JavaScript  Node.js  ReactJS "
SKIDS Health,SDE (MERN),"SKIDS Health (https://skids.health) is a highly innovative startup developing pediatric evaluations, clinics, and care modules to help Indian parents and children. Our approach leverages first-of-its-kind schools-parents-monitoring technologies to evaluate, monitor and guide children's health and well-being. Based in Delhi NCR and Bengaluru, SKIDS is founded by serial entrepreneurs with expertise in medical science, machine learning and education technology. SKIDS is backed by marquee investors in Asia and India. We are actively expanding our team and looking for passionate and motivated professionals who are keen to join us in our next phase of growth.",Gurgaon,Amazon Web Server (AWS)  MEAN/MERN Stack  MongoDB  Node.js  ReactJS ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","SDE (MERN), Amazon Web Server (AWS)  MEAN MERN Stack  MongoDB  Node.js  ReactJS "
NMS Games Private Limited,Unity Development,"We have expertise in developing games across all genres from engaging casual, social, card, casino, action, arcade, trivia, strategy, puzzle, educational, table, and board games for iOS and Android for both phones and tablets. We use Unity3D, Phasor, Construct2/3, Play Canvas, Blender, Illustrator, Maya, Max, Photoshop, and many other industry-leading tools to create the best games and beast experiences and games, apps for mobile AR and VR platforms.",Work From Home,Animation  C#  REST API ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","Unity Development, Animation  C#  REST API "
IESoft Technologies Private Limited,Node.js Development,"IESoft Technologies Private Limited is a product and services company with a global presence. We started our operations in the year 2012. We have come a long way in the past nine years. We have global clients from Singapore, the US, the UK, Canada, and the Middle East. Some of our clients are from the Fortune 500 list and big global names. We have helped many clients reach their goals & have been supporting them with our software expertise. We had launched a couple of products a few years ago and they are very successful now. The company offers an awesome working culture.",Work From Home,CSS  HTML  JavaScript  Node.js  ReactJS ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","Node.js Development, CSS  HTML  JavaScript  Node.js  ReactJS "
Quantum IT,Laravel Development,Quantum IT is a globally recognized mobile & web app development and digital marketing agency. It is USA-based incorporation with offices in the US and the UK and a delivery center based in India with a team of more than 100 members. We provide complete web development and digital marketing solutions to B2B and B2C.,Work From Home,AJAX  Bootstrap  CSS  HTML  JavaScript  jQuery  JSON  LARAVEL  PHP ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","Laravel Development, AJAX  Bootstrap  CSS  HTML  JavaScript  jQuery  JSON  LARAVEL  PHP "
Omninos Technologies International Private Limited,PHP Development,"We are a mobile and web development company. We're a professional, individualistic one-stop-shop providing strategic brand consulting, experience and customer journey design, mobile app design and development, website and software development, and just about everything else which has to do anything with digital technology.",Kharar,CodeIgniter  HTML  JavaScript  jQuery  LARAVEL  MySQL  PHP ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","PHP Development, CodeIgniter  HTML  JavaScript  jQuery  LARAVEL  MySQL  PHP "
NextEdge Labs,Software Development - Web (Angular),"We are a tech-business consulting firm. Our services include sales, marketing, operations, infrastructure, finance, and business model activities.",Work From Home,Angular 7.0  Bootstrap  CSS  Dart  Flutter  HTML  JavaScript  Node.js ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","Software Development - Web (Angular), Angular 7.0  Bootstrap  CSS  Dart  Flutter  HTML  JavaScript  Node.js "
Yapply LLC,"Game Development - Godot, GDevelop, And Unity",Yapply is an online content discovery and social networking service that enables its users to have real-time conversations on any web page.,Work From Home,JavaScript  Unity 3D  Unity Engine ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","Game Development - Godot, GDevelop, And Unity, JavaScript  Unity 3D  Unity Engine "
Omninos Technologies International Private Limited,React Native Development,"We are a mobile and web development company. We're a professional, individualistic one-stop-shop providing strategic brand consulting, experience and customer journey design, mobile app design and development, website and software development, and just about everything else which has to do anything with digital technology.",Ludhiana,.NET  JavaScript  Node.js ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","React Native Development, .NET  JavaScript  Node.js "
